Deform_L_030,0.075226,0.041196,0.374844,0.616738 
Deform_L_060,0.079539,0.049161,0.375005,0.625527 
Deform_Z_030,0.072158,0.037918,0.365013,0.615527 
Deform_Z_090,0.073163,0.038921,0.367069,0.618798 
Overlay065,0.069425,0.042763,0.365848,0.616414 
Overlay050,0.076037,0.052305,0.361939,0.613554 
Overlay010,0.075555,0.046304,0.365711,0.615687 
Rotation150,-0.000000,-0.000000,0.000000,0.000000 
Rotation120,-0.000000,-0.000000,0.000000,0.000000 
Rotation090,-0.000000,-0.000000,0.000000,0.000000 
Rotation060,0.071399,0.027996,0.365803,0.615804 
Rotation030,0.074851,0.035219,0.365107,0.615595 
OcclusionPole040,0.069606,0.043536,0.574234,0.621833 
Occlusion100,0.058794,0.033879,0.367706,0.611380 
Occlusion099,0.068322,0.040120,0.367105,0.615547 
Occlusion060,0.066173,0.043056,0.364581,0.615487 
Occlusion050,0.069990,0.047746,0.363797,0.610930 
Occlusion040,0.067896,0.039726,0.366409,0.611065 
Occlusion030,0.065460,0.042714,0.366219,0.612022 
Occlusion010,0.060089,0.045624,0.362997,0.615418 
Disappear002,-0.000000,-0.000000,0.000000,0.000000 
Disappear001,-0.000000,-0.000000,0.000000,0.000000 
Hou003,0.043067,0.030906,0.357848,0.539405 
Hou002,0.050749,0.030604,0.342443,0.533261 
Hou001,0.047657,0.029746,0.345825,0.528249 
Zuo003,0.048125,0.027248,0.317806,0.538810 
Zuo002,0.048188,0.030654,0.326461,0.530378 
Zuo001,0.050307,0.028824,0.336158,0.529933 
Normal,0.050307,0.028255,0.351271,0.528423 
Qian001,0.047695,0.033539,0.345843,0.527605 
Qian002,0.048878,0.030043,0.351833,0.533050 
Qian003,0.042171,0.032442,0.350588,0.538223 
Qian004,0.041452,0.031876,0.365788,0.554419 
