7000,6.209,-0.007,-14.63,51,1
7001,6.211,-0.008,-14.613,76,1
7002,6.212,-0.019,-14.616,28,1
7003,6.222,-0.004,-14.611,113,1
7004,6.22,-0.015,-14.603,174,1
7005,6.223,-0.026,-14.611,46,1
7006,6.233,-0.002,-14.6,170,1
7007,6.235,-0.013,-14.605,92,1
7008,6.235,-0.024,-14.604,79,1
7009,6.241,-0.001,-14.596,174,1
7010,6.241,-0.013,-14.597,125,1
7011,6.242,-0.023,-14.598,104,1
7012,6.244,-0.035,-14.602,13,1
7013,6.25,-0.009,-14.591,165,1
7014,6.252,-0.02,-14.595,90,1
7015,6.251,-0.032,-14.594,63,1
7016,6.264,-0.007,-14.588,170,1
7017,6.265,-0.018,-14.59,130,1
7018,6.264,-0.029,-14.586,110,1
7019,6.267,-0.04,-14.594,26,1
7020,6.269,-0.008,-14.578,167,1
7021,6.273,-0.019,-14.585,149,1
7022,6.271,-0.03,-14.582,110,1
7023,6.275,-0.041,-14.59,27,1
7024,6.279,-0.005,-14.574,172,1
7025,6.279,-0.017,-14.575,168,1
7026,6.279,-0.027,-14.575,104,1
7027,6.283,-0.038,-14.583,54,1
7028,6.294,-0.001,-14.573,171,1
7029,6.292,-0.012,-14.569,173,1
7030,6.294,-0.023,-14.573,135,1
7031,6.293,-0.034,-14.571,100,1
7032,6.301,-0.002,-14.568,177,1
7033,6.3,-0.014,-14.568,172,1
7034,6.303,-0.024,-14.573,146,1
7035,6.3,-0.036,-14.566,123,1
7036,6.308,-0.007,-14.56,172,1
7037,6.309,-0.019,-14.562,173,1
7038,6.309,-0.03,-14.561,104,1
7039,6.31,-0.041,-14.564,35,1
7105,6.321,-0.004,-14.552,171,1
7106,6.321,-0.016,-14.552,167,1
7107,6.323,-0.027,-14.557,123,1
7108,6.321,-0.038,-14.553,106,1
7109,6.333,-0.049,-14.581,45,1
7110,6.332,-0.06,-14.58,51,1
7111,6.333,-0.071,-14.581,45,1
7112,6.332,-0.082,-14.58,49,1
7197,6.329,-0.005,-14.549,167,1
7198,6.331,-0.016,-14.552,174,1
7199,6.331,-0.027,-14.552,138,1
7200,6.332,-0.038,-14.554,119,1
7201,6.339,-0.049,-14.571,66,1
7202,6.339,-0.06,-14.57,70,1
7203,6.339,-0.071,-14.571,70,1
7204,6.338,-0.082,-14.57,69,1
7289,6.338,-0.002,-14.544,174,1
7290,6.339,-0.014,-14.545,174,1
7291,6.34,-0.025,-14.548,145,1
7292,6.339,-0.036,-14.545,129,1
7293,6.347,-0.047,-14.564,123,1
7294,6.347,-0.058,-14.564,126,1
7295,6.347,-0.069,-14.563,130,1
7296,6.347,-0.08,-14.565,132,1
7382,6.352,-0.003,-14.539,174,1
7383,6.351,-0.014,-14.536,173,1
7384,6.353,-0.025,-14.542,130,1
7385,6.352,-0.036,-14.539,118,1
7386,6.36,-0.047,-14.558,114,1
7387,6.36,-0.058,-14.557,114,1
7388,6.36,-0.069,-14.557,116,1
7389,6.359,-0.081,-14.554,117,1
7475,6.359,-0.004,-14.533,175,1
7476,6.359,-0.015,-14.534,170,1
7477,6.361,-0.026,-14.537,99,1
7478,6.361,-0.037,-14.537,68,1
7479,6.37,-0.049,-14.559,64,1
