9.9264e+05,3.082,-0.006,-14.823,130,2,229.22
9.9264e+05,3.081,-0.017,-14.816,127,2,229.01
9.9264e+05,3.082,-0.027,-14.819,133,2,229.1
9.9265e+05,3.08,-0.038,-14.814,127,2,228.94
9.9265e+05,3.081,-0.048,-14.816,126,2,229.01
9.9265e+05,3.089,-0.008,-14.819,125,2,229.14
9.9265e+05,3.089,-0.018,-14.82,130,2,229.17
9.9265e+05,3.089,-0.029,-14.818,123,2,229.12
9.9265e+05,3.09,-0.039,-14.821,120,2,229.21
9.9265e+05,3.089,-0.05,-14.817,118,2,229.09
9.9266e+05,3.1,-0.005,-14.828,125,2,229.48
9.9266e+05,3.099,-0.015,-14.822,131,2,229.3
9.9266e+05,3.099,-0.026,-14.822,124,2,229.3
9.9266e+05,3.099,-0.037,-14.822,123,2,229.3
9.9266e+05,3.099,-0.047,-14.821,110,2,229.27
9.9266e+05,3.115,-0.002,-14.83,127,2,229.63
9.9266e+05,3.115,-0.012,-14.828,134,2,229.57
9.9267e+05,3.115,-0.023,-14.825,129,2,229.48
9.9267e+05,3.114,-0.034,-14.824,120,2,229.45
9.9267e+05,3.114,-0.044,-14.822,44,2,229.39
9.9267e+05,3.125,-0.001,-14.834,129,2,229.81
9.9267e+05,3.125,-0.012,-14.829,136,2,229.66
9.9267e+05,3.125,-0.022,-14.832,127,2,229.75
9.9267e+05,3.124,-0.032,-14.828,118,2,229.63
9.9267e+05,3.123,-0.043,-14.821,35,2,229.42
9.9268e+05,3.134,-0.009,-14.83,128,2,229.75
9.9268e+05,3.134,-0.02,-14.828,124,2,229.69
9.9268e+05,3.134,-0.031,-14.83,93,2,229.75
9.9268e+05,3.133,-0.041,-14.827,26,2,229.66
9.9268e+05,3.148,-0.008,-14.832,130,2,229.9
9.9268e+05,3.148,-0.018,-14.83,130,2,229.84
9.9268e+05,3.148,-0.029,-14.83,42,2,229.84
9.9268e+05,3.148,-0.04,-14.83,37,2,229.84
9.9268e+05,3.16,-0.001,-14.839,125,2,230.18
9.9268e+05,3.159,-0.011,-14.837,129,2,230.12
9.9269e+05,3.158,-0.022,-14.831,25,2,229.93
9.9269e+05,3.162,-0.032,-14.852,16,2,230.58
9.9269e+05,3.169,-0.007,-14.837,71,2,230.18
9.9269e+05,3.177,-0.018,-14.876,13,2,231.39
9.9269e+05,3.184,-0.004,-14.847,24,2,230.57
9.9269e+05,3.185,-0.014,-14.851,17,2,230.7
9.9269e+05,3.197,-0.003,-14.861,10,2,231.07
9.9269e+05,3.214,-0.046,-14.941,28,2,233.56
9.9604e+05,2.799,-0.006,-14.768,58,2,225.93
9.9604e+05,2.8,-0.016,-14.772,22,2,226.05
9.9604e+05,2.814,-0.004,-14.777,70,2,226.28
9.9605e+05,2.813,-0.015,-14.773,64,2,226.15
9.9605e+05,2.814,-0.025,-14.774,25,2,226.19
9.9605e+05,2.823,-0.005,-14.777,134,2,226.33
9.9605e+05,2.822,-0.016,-14.77,42,2,226.12
9.9605e+05,2.822,-0.026,-14.772,42,2,226.18
9.9605e+05,2.832,-0.01,-14.776,137,2,226.35
9.9605e+05,2.833,-0.02,-14.778,78,2,226.42
9.9605e+05,2.832,-0.031,-14.773,62,2,226.26
9.9605e+05,2.845,-0.006,-14.78,133,2,226.54
9.9605e+05,2.845,-0.016,-14.777,130,2,226.45
9.9606e+05,2.845,-0.027,-14.778,95,2,226.48
9.9606e+05,2.845,-0.037,-14.775,45,2,226.39
9.9606e+05,2.846,-0.047,-14.783,7,2,226.64
9.9606e+05,2.855,-0.006,-14.78,131,2,226.6
9.9606e+05,2.855,-0.016,-14.777,132,2,226.51
9.9606e+05,2.855,-0.027,-14.777,129,2,226.51
9.9606e+05,2.855,-0.038,-14.777,51,2,226.51
9.9606e+05,2.855,-0.048,-14.776,44,2,226.48
9.9606e+05,2.867,-0.003,-14.786,130,2,226.85
9.9606e+05,2.866,-0.014,-14.784,131,2,226.78
9.9607e+05,2.867,-0.024,-14.785,126,2,226.82
9.9607e+05,2.866,-0.034,-14.78,128,2,226.66
9.9607e+05,2.865,-0.045,-14.776,45,2,226.54
9.9607e+05,2.878,-0.001,-14.782,132,2,226.79
9.9607e+05,2.878,-0.012,-14.783,135,2,226.82
9.9607e+05,2.878,-0.022,-14.785,127,2,226.88
9.9608e+05,2.878,-0.033,-14.783,127,2,226.82
9.9608e+05,2.878,-0.043,-14.783,123,2,226.82
9.9608e+05,2.889,-0.004,-14.786,134,2,226.97
9.9608e+05,2.889,-0.014,-14.786,137,2,226.97
9.9608e+05,2.889,-0.025,-14.784,132,2,226.91
9.9608e+05,2.889,-0.036,-14.785,129,2,226.94
9.9608e+05,2.888,-0.046,-14.78,116,2,226.79
9.9609e+05,2.901,-0.002,-14.79,126,2,227.16
9.9609e+05,2.901,-0.013,-14.788,128,2,227.1
9.9609e+05,2.9,-0.023,-14.786,123,2,227.04
9.9609e+05,2.901,-0.034,-14.788,123,2,227.1
9.9609e+05,2.9,-0.044,-14.786,130,2,227.04
9.9609e+05,2.913,-0.001,-14.792,125,2,227.29
9.9609e+05,2.912,-0.012,-14.786,128,2,227.11
9.961e+05,2.911,-0.022,-14.786,129,2,227.1
9.961e+05,2.912,-0.032,-14.788,131,2,227.16
9.961e+05,2.911,-0.043,-14.783,129,2,227.01
9.961e+05,2.922,-0.004,-14.793,124,2,227.37
9.961e+05,2.922,-0.015,-14.791,126,2,227.31
9.961e+05,2.922,-0.026,-14.792,131,2,227.34
9.961e+05,2.922,-0.036,-14.792,130,2,227.34
