30,3.891,-0.004,-9.003,40,1,96.194
31,3.892,-0.011,-9.006,71,1,96.256
32,3.893,-0.018,-9.007,73,1,96.281
33,3.894,-0.024,-9.008,70,1,96.307
34,3.895,-0.031,-9.01,70,1,96.351
35,3.895,-0.038,-9.01,73,1,96.351
46,3.898,-0.005,-9.003,61,1,96.248
47,3.898,-0.012,-9.005,75,1,96.284
48,3.898,-0.019,-9.004,78,1,96.266
49,3.899,-0.026,-9.008,80,1,96.346
50,3.899,-0.033,-9.007,84,1,96.328
63,3.9,-0.009,-8.994,48,1,96.102
64,3.902,-0.016,-8.998,64,1,96.19
65,3.903,-0.023,-9.001,83,1,96.251
66,3.904,-0.03,-9.004,74,1,96.313
67,3.906,-0.036,-9.007,78,1,96.383
82,3.91,-0.001,-8.995,35,1,96.198
83,3.912,-0.021,-9,80,1,96.304
84,3.912,-0.028,-8.998,75,1,96.268
85,3.913,-0.035,-9.002,81,1,96.348
100,3.914,-0.023,-8.989,46,1,96.122
101,3.914,-0.031,-8.988,66,1,96.104
102,3.913,-0.037,-8.986,70,1,96.06
117,3.949,-0.002,-9.054,66,1,97.57
118,3.934,-0.009,-9.018,61,1,96.801
119,3.93,-0.016,-9.01,15,1,96.625
120,3.927,-0.023,-9.002,38,1,96.457
121,3.932,-0.03,-9.016,23,1,96.749
122,3.932,-0.036,-9.015,54,1,96.731
136,3.943,-0.001,-9.017,68,1,96.854
137,3.934,-0.007,-8.998,73,1,96.44
138,3.934,-0.014,-8.997,75,1,96.422
139,3.932,-0.022,-8.992,35,1,96.317
152,3.953,-0.003,-9.026,63,1,97.095
153,3.946,-0.01,-9.01,63,1,96.751
154,3.96,-0.017,-9.041,57,1,97.421
155,3.956,-0.024,-9.033,60,1,97.245
156,3.943,-0.031,-9.002,40,1,96.583
171,3.954,-0.001,-9.014,65,1,96.886
172,3.959,-0.008,-9.025,61,1,97.124
173,3.965,-0.015,-9.038,46,1,97.407
174,3.957,-0.022,-9.021,44,1,97.036
175,3.945,-0.029,-8.992,77,1,96.419
176,3.941,-0.035,-8.983,68,1,96.226
191,3.939,-0.001,-8.958,72,1,95.761
192,3.952,-0.007,-8.987,54,1,96.384
193,3.96,-0.014,-9.005,62,1,96.772
194,3.964,-0.021,-9.014,62,1,96.965
195,3.961,-0.028,-9.006,81,1,96.798
196,3.963,-0.035,-9.01,82,1,96.885
213,3.949,-0.003,-8.965,79,1,95.966
214,3.955,-0.01,-8.981,69,1,96.3
215,3.97,-0.017,-9.015,74,1,97.031
216,3.964,-0.023,-9,62,1,96.713
217,3.966,-0.03,-9.005,88,1,96.819
237,3.956,-0.003,-8.966,79,1,96.039
238,3.967,-0.009,-8.992,77,1,96.593
239,3.975,-0.016,-9.01,85,1,96.981
240,3.972,-0.023,-9.003,73,1,96.831
241,3.966,-0.03,-8.988,78,1,96.513
262,3.963,-0.002,-8.962,79,1,96.023
263,3.977,-0.009,-8.992,23,1,96.673
264,3.974,-0.016,-8.987,63,1,96.559
265,3.973,-0.023,-8.983,62,1,96.479
266,3.971,-0.03,-8.981,64,1,96.427
286,3.968,-0.003,-8.958,75,1,95.991
287,3.981,-0.017,-8.989,32,1,96.65
288,3.98,-0.024,-8.986,71,1,96.589
289,3.979,-0.031,-8.984,74,1,96.545
307,3.991,-0.002,-8.996,71,1,96.856
308,3.986,-0.023,-8.983,19,1,96.582
309,3.985,-0.03,-8.981,75,1,96.539
328,3.998,-0.001,-8.99,72,1,96.804
329,3.993,-0.022,-8.979,55,1,96.566
330,3.993,-0.029,-8.979,76,1,96.566
346,4.008,-0.004,-8.998,66,1,97.028
347,3.997,-0.01,-8.972,33,1,96.473
348,3.998,-0.017,-8.974,70,1,96.517
349,3.998,-0.024,-8.974,81,1,96.517
350,3.999,-0.031,-8.978,73,1,96.596
360,4.014,-0.001,-8.994,69,1,97.004
361,4.013,-0.007,-8.991,15,1,96.942
362,4.005,-0.022,-8.975,69,1,96.591
363,4.005,-0.028,-8.975,71,1,96.591
371,4.021,-0.006,-8.988,45,1,96.953
372,4.013,-0.02,-8.972,70,1,96.601
373,4.014,-0.026,-8.974,75,1,96.645
374,4.014,-0.033,-8.974,67,1,96.645
380,4.019,-0.019,-8.971,62,1,96.631
381,4.022,-0.026,-8.977,82,1,96.763
382,4.021,-0.033,-8.976,80,1,96.737
387,4.024,-0.024,-8.969,67,1,96.636
388,4.027,-0.031,-8.974,76,1,96.749
393,4.031,-0.023,-8.962,56,1,96.566
394,4.035,-0.03,-8.969,65,1,96.724
398,4.034,-0.025,-8.955,40,1,96.465
399,4.04,-0.032,-8.967,66,1,96.729
402,4.041,-0.03,-8.955,63,1,96.522
820,3.859,0.223,-8.965,81,1,95.263
871,3.762,0.247,-8.725,45,1,90.278
872,3.76,0.24,-8.72,50,1,90.176
873,3.76,0.233,-8.719,51,1,90.159
874,3.803,0.229,-8.821,80,1,92.273
875,3.86,0.219,-8.951,47,1,95.02
876,3.897,0.214,-9.038,49,1,96.872
877,3.879,0.206,-8.996,70,1,95.975
878,3.872,0.199,-8.979,66,1,95.615
879,3.885,0.193,-9.011,56,1,96.291
880,3.893,0.186,-9.029,49,1,96.678
881,3.903,0.18,-9.052,44,1,97.172
882,3.846,0.171,-8.919,70,1,94.34
883,3.846,0.164,-8.92,70,1,94.358
884,3.843,0.157,-8.912,18,1,94.192
885,3.872,0.151,-8.979,66,1,95.615
886,3.873,0.145,-8.982,70,1,95.676
887,3.872,0.138,-8.979,67,1,95.615
888,3.872,0.131,-8.979,55,1,95.615
889,3.867,0.124,-8.968,42,1,95.379
890,3.872,0.097,-8.98,26,1,95.633
891,3.871,0.09,-8.978,48,1,95.589
892,3.874,0.083,-8.983,30,1,95.702
932,3.764,0.248,-8.709,53,1,90.014
933,3.763,0.241,-8.708,58,1,89.989
934,3.791,0.236,-8.771,69,1,91.302
935,3.79,0.23,-8.77,64,1,91.277
936,3.9,0.229,-9.023,48,1,96.625
937,3.902,0.223,-9.029,54,1,96.748
938,3.879,0.214,-8.975,50,1,95.597
939,3.878,0.207,-8.972,63,1,95.536
940,3.884,0.201,-8.986,67,1,95.834
941,3.885,0.194,-8.988,65,1,95.877
942,3.887,0.188,-8.993,72,1,95.983
943,3.926,0.183,-9.084,46,1,97.933
944,3.933,0.176,-9.1,50,1,98.278
945,3.859,0.159,-8.929,15,1,94.619
946,3.86,0.153,-8.931,45,1,94.662
947,3.862,0.146,-8.936,63,1,94.767
948,3.863,0.139,-8.938,46,1,94.811
949,3.883,0.126,-8.983,42,1,95.772
950,3.888,0.119,-8.996,30,1,96.045
