6.154,-0.003,-14.6,145
6.154,-0.014,-14.6,129
6.156,-0.025,-14.604,47
6.161,-0.003,-14.594,146
6.162,-0.014,-14.595,119
6.163,-0.024,-14.598,52
6.171,-0.01,-14.59,143
6.17,-0.021,-14.588,126
6.172,-0.032,-14.592,53
6.183,-0.008,-14.585,147
6.183,-0.019,-14.584,144
6.185,-0.03,-14.589,115
6.186,-0.041,-14.59,38
6.192,-0.009,-14.582,153
6.192,-0.02,-14.582,147
6.191,-0.031,-14.58,142
6.194,-0.042,-14.587,59
6.201,-0.004,-14.578,147
6.2,-0.015,-14.575,147
6.201,-0.026,-14.576,149
6.201,-0.037,-14.575,127
6.203,-0.048,-14.582,53
6.213,-0.001,-14.568,145
6.215,-0.012,-14.571,147
6.214,-0.023,-14.569,145
6.214,-0.034,-14.57,146
6.215,-0.045,-14.571,57
6.223,-0.001,-14.569,147
6.223,-0.012,-14.569,146
6.223,-0.023,-14.569,148
6.223,-0.034,-14.568,161
6.223,-0.045,-14.568,95
6.231,-0.01,-14.562,147
6.231,-0.021,-14.563,143
6.23,-0.032,-14.56,147
6.232,-0.043,-14.565,121
6.233,-0.054,-14.567,63
6.245,-0.009,-14.557,145
6.245,-0.02,-14.558,143
6.245,-0.031,-14.556,144
6.247,-0.043,-14.562,129
6.247,-0.053,-14.562,59
6.253,-0.002,-14.552,138
6.253,-0.013,-14.552,148
6.253,-0.023,-14.551,146
6.254,-0.034,-14.554,142
6.251,-0.046,-14.548,139
6.256,-0.057,-14.559,74
6.273,-0.068,-14.599,20
6.271,-0.079,-14.594,20
6.272,-0.09,-14.596,25
6.273,-0.101,-14.599,18
6.273,-0.112,-14.6,12
6.275,-0.124,-14.603,10
6.26,-0.01,-14.548,146
6.261,-0.021,-14.547,145
6.26,-0.032,-14.547,139
6.264,-0.043,-14.554,104
6.263,-0.054,-14.553,55
6.273,-0.065,-14.577,42
6.273,-0.076,-14.575,41
6.274,-0.088,-14.578,45
6.273,-0.099,-14.577,50
6.274,-0.11,-14.58,37
6.274,-0.121,-14.58,37
6.274,-0.132,-14.58,40
6.274,-0.008,-14.541,144
6.274,-0.019,-14.54,143
6.274,-0.03,-14.54,140
6.277,-0.041,-14.548,120
6.276,-0.052,-14.545,95
6.282,-0.063,-14.559,64
6.282,-0.074,-14.561,66
6.282,-0.085,-14.56,63
6.283,-0.096,-14.562,57
6.285,-0.108,-14.566,57
6.284,-0.119,-14.564,60
6.286,-0.13,-14.568,55
6.284,-0.01,-14.543,142
6.284,-0.022,-14.542,148
6.282,-0.033,-14.538,144
6.284,-0.043,-14.543,106
6.286,-0.054,-14.548,64
6.29,-0.066,-14.557,107
6.29,-0.077,-14.558,102
6.289,-0.088,-14.555,102
6.29,-0.099,-14.557,101
6.291,-0.11,-14.559,91
6.291,-0.121,-14.56,103
6.292,-0.132,-14.562,100
6.292,-0.008,-14.536,146
6.292,-0.019,-14.535,138
6.291,-0.03,-14.533,143
6.294,-0.041,-14.54,117
6.294,-0.053,-14.54,58
6.301,-0.064,-14.556,92
6.299,-0.075,-14.552,93
6.299,-0.086,-14.552,95
6.3,-0.097,-14.555,93
6.301,-0.108,-14.556,98
6.301,-0.119,-14.556,102
6.3,-0.13,-14.554,98
6.304,-0.007,-14.53,140
6.304,-0.018,-14.529,149
6.304,-0.029,-14.529,142
6.306,-0.04,-14.534,128
6.305,-0.051,-14.531,64
6.314,-0.062,-14.551,56
6.313,-0.073,-14.55,48
6.314,-0.084,-14.553,56
6.313,-0.095,-14.551,58
6.313,-0.106,-14.551,67
6.313,-0.117,-14.549,58
6.314,-0.129,-14.553,64
6.314,-0.007,-14.528,133
6.31,-0.018,-14.519,138
6.313,-0.029,-14.526,144
6.314,-0.04,-14.529,109
6.315,-0.052,-14.531,53
6.326,-0.062,-14.556,38
6.326,-0.073,-14.557,42
6.326,-0.084,-14.556,40
6.327,-0.096,-14.558,40
6.327,-0.107,-14.558,41
6.328,-0.118,-14.561,36
6.328,-0.129,-14.559,49
6.324,-0.002,-14.524,143
6.322,-0.013,-14.52,140
6.322,-0.024,-14.52,142
6.323,-0.035,-14.521,133
6.324,-0.046,-14.524,114
6.325,-0.057,-14.526,29
6.333,-0.009,-14.511,145
6.334,-0.021,-14.514,146
6.335,-0.032,-14.515,143
6.337,-0.043,-14.519,122
6.338,-0.054,-14.522,37
6.345,-0.011,-14.513,147
6.345,-0.022,-14.514,142
6.345,-0.033,-14.515,113
6.345,-0.044,-14.516,59
6.354,-0.005,-14.509,146
6.353,-0.017,-14.505,145
6.356,-0.028,-14.512,130
6.355,-0.038,-14.51,105
6.364,-0.003,-14.498,147
6.365,-0.014,-14.5,148
6.366,-0.025,-14.504,114
6.366,-0.036,-14.505,65
6.373,-0.003,-14.498,151
6.372,-0.014,-14.494,149
6.375,-0.025,-14.502,111
6.376,-0.036,-14.504,55
6.381,0,-14.49,139
6.382,-0.011,-14.491,145
6.382,-0.023,-14.491,131
6.385,-0.034,-14.499,49
6.394,-0.009,-14.483,130
6.127,-0.007,-14.617,29
6.134,-0.008,-14.613,53
6.138,-0.006,-14.597,132
6.142,-0.017,-14.608,46
