2.52,-0.007,-14.583,25,3
2.532,-0.004,-14.581,89,3
2.531,-0.015,-14.578,33,3
2.54,-0.006,-14.58,118,3
2.538,-0.016,-14.568,35,3
2.539,-0.026,-14.575,16,3
2.548,-0.003,-14.567,147,3
2.549,-0.013,-14.573,128,3
2.549,-0.023,-14.573,89,3
2.549,-0.034,-14.574,44,3
2.561,-0.001,-14.565,151,3
2.561,-0.011,-14.565,150,3
2.56,-0.022,-14.563,138,3
2.561,-0.032,-14.567,97,3
2.562,-0.042,-14.571,40,3
2.568,-0.003,-14.564,153,3
2.568,-0.013,-14.562,141,3
2.569,-0.023,-14.565,150,3
2.569,-0.034,-14.569,103,3
2.568,-0.044,-14.561,30,3
2.576,-0.002,-14.554,148,3
2.576,-0.012,-14.559,149,3
2.577,-0.022,-14.56,154,3
2.576,-0.032,-14.559,153,3
2.577,-0.043,-14.562,89,3
2.578,-0.053,-14.564,29,3
2.589,-0.009,-14.552,146,3
2.591,-0.02,-14.557,144,3
2.59,-0.03,-14.555,147,3
2.59,-0.041,-14.557,140,3
2.59,-0.05,-14.554,92,3
2.59,-0.061,-14.554,34,3
2.598,-0.001,-14.547,147,3
2.598,-0.011,-14.548,149,3
2.599,-0.021,-14.55,152,3
2.599,-0.032,-14.549,150,3
2.599,-0.042,-14.551,154,3
2.599,-0.052,-14.55,137,3
2.599,-0.063,-14.552,57,3
2.601,-0.073,-14.56,8,3
2.606,-0.008,-14.543,152,3
2.606,-0.019,-14.543,144,3
2.608,-0.029,-14.549,149,3
2.607,-0.039,-14.545,148,3
2.608,-0.049,-14.55,145,3
2.608,-0.06,-14.552,98,3
2.608,-0.07,-14.55,35,3
2.618,-0.006,-14.542,146,3
2.619,-0.016,-14.544,148,3
2.619,-0.027,-14.544,151,3
2.619,-0.037,-14.542,145,3
2.619,-0.047,-14.543,154,3
2.619,-0.058,-14.547,153,3
2.619,-0.068,-14.547,89,3
2.619,-0.078,-14.546,48,3
2.628,-0.008,-14.539,150,3
2.628,-0.018,-14.537,152,3
2.628,-0.029,-14.539,146,3
2.628,-0.038,-14.536,153,3
2.628,-0.049,-14.536,153,3
2.628,-0.059,-14.538,157,3
2.627,-0.07,-14.532,122,3
2.629,-0.08,-14.541,22,3
2.637,-0.006,-14.531,158,3
2.637,-0.017,-14.53,150,3
2.638,-0.027,-14.533,151,3
2.638,-0.038,-14.533,149,3
2.638,-0.048,-14.535,147,3
2.638,-0.058,-14.535,153,3
2.638,-0.068,-14.536,152,3
2.639,-0.079,-14.54,87,3
2.639,-0.089,-14.542,40,3
2.648,-0.004,-14.527,154,3
2.648,-0.014,-14.528,150,3
2.649,-0.024,-14.533,146,3
2.649,-0.035,-14.531,151,3
2.649,-0.045,-14.534,145,3
2.649,-0.056,-14.531,152,3
2.65,-0.066,-14.535,152,3
2.649,-0.076,-14.534,128,3
2.649,-0.086,-14.533,26,3
2.655,-0.004,-14.523,154,3
2.656,-0.015,-14.525,163,3
